cell_id,well_id,well_name,well_column,well_row,cellline_name,cell_last_tp,cell_event,well_id,well_drug_name,well_drug_concentration,well_drug_concentration_units
6633098,69760,F12,12,6,ND50010,3,TRUE,69760,VRG0023,3.5,uM
6633099,69760,F12,12,6,ND50010,2,TRUE,69760,VRG0023,3.5,uM
6633100,69760,F12,12,6,ND50010,10,FALSE,69760,VRG0023,3.5,uM
6633101,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633102,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633103,69760,F12,12,6,ND50010,2,TRUE,69760,VRG0023,3.5,uM
6633104,69760,F12,12,6,ND50010,2,TRUE,69760,VRG0023,3.5,uM
6633105,69760,F12,12,6,ND50010,3,TRUE,69760,VRG0023,3.5,uM
6633106,69760,F12,12,6,ND50010,3,TRUE,69760,VRG0023,3.5,uM
6633107,69760,F12,12,6,ND50010,10,FALSE,69760,VRG0023,3.5,uM
6633108,69760,F12,12,6,ND50010,10,FALSE,69760,VRG0023,3.5,uM
6633109,69760,F12,12,6,ND50010,10,FALSE,69760,VRG0023,3.5,uM
6633110,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633111,69760,F12,12,6,ND50010,2,TRUE,69760,VRG0023,3.5,uM
6633112,69760,F12,12,6,ND50010,3,TRUE,69760,VRG0023,3.5,uM
6633113,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633114,69760,F12,12,6,ND50010,10,FALSE,69760,VRG0023,3.5,uM
6633115,69760,F12,12,6,ND50010,3,TRUE,69760,VRG0023,3.5,uM
6633116,69760,F12,12,6,ND50010,10,FALSE,69760,VRG0023,3.5,uM
6633117,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633118,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633119,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633120,69760,F12,12,6,ND50010,10,FALSE,69760,VRG0023,3.5,uM
6633121,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633122,69760,F12,12,6,ND50010,10,FALSE,69760,VRG0023,3.5,uM
6633123,69760,F12,12,6,ND50010,1,TRUE,69760,VRG0023,3.5,uM
6633124,69760,F12,12,6,ND50010,2,TRUE,69760,VRG0023,3.5,uM
6633125,69760,F12,12,6,ND50010,9,TRUE,69760,VRG0023,3.5,uM
6633126,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633127,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
